"adshex","reg","name","name2","type","squawk","latitude","longitude","altitude","heading","timestamp","loc_timestamp","loc_date"
"A94BBC","N6987A","MIDWEST AERIAL IMAGING","Midwest Aerial Imaging","AS50","4401",41.500901,-81.675621,2775,341.6,"2016-07-15 19:26:16","2016-07-15 15:26:16","2016-07-15"
"A94BBC","N6987A","MIDWEST AERIAL IMAGING","Midwest Aerial Imaging","AS50","4401",41.49578,-81.692292,2375,223.5,"2016-07-15 19:27:21","2016-07-15 15:27:21","2016-07-15"
"A94BBC","N6987A","MIDWEST AERIAL IMAGING","Midwest Aerial Imaging","AS50","4401",41.496479,-81.669489,2700,82.1,"2016-07-15 19:28:22","2016-07-15 15:28:22","2016-07-15"
"A94BBC","N6987A","MIDWEST AERIAL IMAGING","Midwest Aerial Imaging","AS50","4401",41.503182,-81.685521,2400,279.2,"2016-07-15 19:29:18","2016-07-15 15:29:18","2016-07-15"
"A94BBC","N6987A","MIDWEST AERIAL IMAGING","Midwest Aerial Imaging","AS50","4401",41.495082,-81.691206,2600,322.1,"2016-07-15 19:30:27","2016-07-15 15:30:27","2016-07-15"
"A94BBC","N6987A","MIDWEST AERIAL IMAGING","Midwest Aerial Imaging","AS50","4401",41.500901,-81.670383,2500,61.3,"2016-07-15 19:31:06","2016-07-15 15:31:06","2016-07-15"
"A94BBC","N6987A","MIDWEST AERIAL IMAGING","Midwest Aerial Imaging","AS50","4401",41.49052,-81.688907,2600,194.9,"2016-07-15 19:32:17","2016-07-15 15:32:17","2016-07-15"
"A94BBC","N6987A","MIDWEST AERIAL IMAGING","Midwest Aerial Imaging","AS50","4401",41.491218,-81.671022,2700,69,"2016-07-15 19:33:21","2016-07-15 15:33:21","2016-07-15"
"A94BBC","N6987A","MIDWEST AERIAL IMAGING","Midwest Aerial Imaging","AS50","4401",41.507279,-81.687374,2800,305.4,"2016-07-15 19:34:18","2016-07-15 15:34:18","2016-07-15"
"A94BBC","N6987A","MIDWEST AERIAL IMAGING","Midwest Aerial Imaging","AS50","4401",41.479301,-81.675429,2900,139.5,"2016-07-15 19:35:20","2016-07-15 15:35:20","2016-07-15"
"A94BBC","N6987A","MIDWEST AERIAL IMAGING","Midwest Aerial Imaging","AS50","4401",41.494616,-81.663613,2700,349,"2016-07-15 19:36:17","2016-07-15 15:36:17","2016-07-15"
"A94BBC","N6987A","MIDWEST AERIAL IMAGING","Midwest Aerial Imaging","AS50","4401",41.486796,-81.681114,3000,188.6,"2016-07-15 19:37:21","2016-07-15 15:37:21","2016-07-15"
"A94BBC","N6987A","MIDWEST AERIAL IMAGING","Midwest Aerial Imaging","AS50","4401",41.492801,-81.663102,3100,40.6,"2016-07-15 19:38:20","2016-07-15 15:38:20","2016-07-15"
"A94BBC","N6987A","MIDWEST AERIAL IMAGING","Midwest Aerial Imaging","AS50","4401",41.504206,-81.689929,2875,293.9,"2016-07-15 19:39:21","2016-07-15 15:39:21","2016-07-15"
"A94BBC","N6987A","MIDWEST AERIAL IMAGING","Midwest Aerial Imaging","AS50","4401",41.493592,-81.673896,2850,96.8,"2016-07-15 19:40:25","2016-07-15 15:40:25","2016-07-15"
"A94BBC","N6987A","MIDWEST AERIAL IMAGING","Midwest Aerial Imaging","AS50","4401",41.500622,-81.662782,2425,25.3,"2016-07-15 19:41:25","2016-07-15 15:41:25","2016-07-15"
"A94BBC","N6987A","MIDWEST AERIAL IMAGING","Midwest Aerial Imaging","AS50","4401",41.498201,-81.686927,2900,231.2,"2016-07-15 19:42:23","2016-07-15 15:42:23","2016-07-15"
"A94BBC","N6987A","MIDWEST AERIAL IMAGING","Midwest Aerial Imaging","AS50","4401",41.488611,-81.66917,3150,104.4,"2016-07-15 19:43:17","2016-07-15 15:43:17","2016-07-15"
"A94BBC","N6987A","MIDWEST AERIAL IMAGING","Midwest Aerial Imaging","AS50","4401",41.502484,-81.668595,2800,348.2,"2016-07-15 19:44:16","2016-07-15 15:44:16","2016-07-15"
"A94BBC","N6987A","MIDWEST AERIAL IMAGING","Midwest Aerial Imaging","AS50","4401",41.493779,-81.697083,2900,223.4,"2016-07-15 19:45:21","2016-07-15 15:45:21","2016-07-15"
"A94BBC","N6987A","MIDWEST AERIAL IMAGING","Midwest Aerial Imaging","AS50","4401",41.481209,-81.674918,3075,108.4,"2016-07-15 19:46:19","2016-07-15 15:46:19","2016-07-15"
"A94BBC","N6987A","MIDWEST AERIAL IMAGING","Midwest Aerial Imaging","AS50","4401",41.497317,-81.668084,2825,358.7,"2016-07-15 19:47:20","2016-07-15 15:47:20","2016-07-15"
"A94BBC","N6987A","MIDWEST AERIAL IMAGING","Midwest Aerial Imaging","AS50","4401",41.505696,-81.678878,3125,320.2,"2016-07-15 19:48:18","2016-07-15 15:48:18","2016-07-15"
"A94BBC","N6987A","MIDWEST AERIAL IMAGING","Midwest Aerial Imaging","AS50","4401",41.497689,-81.696316,3125,236,"2016-07-15 19:49:14","2016-07-15 15:49:14","2016-07-15"
"A94BBC","N6987A","MIDWEST AERIAL IMAGING","Midwest Aerial Imaging","AS50","4401",41.484003,-81.685074,3050,115.8,"2016-07-15 19:50:22","2016-07-15 15:50:22","2016-07-15"
